Data;Kurs;Zmiana;Nazwa Tabeli
2017-10-19;3.6695;-0.10;203/A/NBP/2017
2017-10-18;3.6733;-0.17;202/A/NBP/2017
2017-10-17;3.6796;-0.32;201/A/NBP/2017
2017-10-16;3.6914;-0.04;200/A/NBP/2017
2017-10-13;3.6927;-0.58;199/A/NBP/2017
2017-10-11;3.7144;-0.43;197/A/NBP/2017
2017-10-10;3.7306;-0.63;196/A/NBP/2017
2017-10-09;3.7541;-0.07;195/A/NBP/2017
2017-10-06;3.7567;0.35;194/A/NBP/2017
2017-10-05;3.7435;-0.39;193/A/NBP/2017
2017-10-04;3.7581;-0.10;192/A/NBP/2017
2017-10-03;3.7618;-0.55;191/A/NBP/2017
2017-10-02;3.7825;0.55;190/A/NBP/2017
2017-09-29;3.7619;-0.13;189/A/NBP/2017
2017-09-28;3.7668;0.21;188/A/NBP/2017
2017-09-27;3.7588;0.59;187/A/NBP/2017
2017-09-26;3.7368;1.30;186/A/NBP/2017
2017-09-25;3.6887;0.22;185/A/NBP/2017
2017-09-22;3.6807;-0.63;184/A/NBP/2017
2017-09-21;3.7042;-0.13;183/A/NBP/2017
2017-09-20;3.7092;-0.46;182/A/NBP/2017
2017-09-19;3.7264;-0.30;181/A/NBP/2017
2017-09-18;3.7376;0.12;180/A/NBP/2017
2017-09-15;3.7332;0.34;179/A/NBP/2017
2017-09-14;3.7206;0.23;178/A/NBP/2017
2017-09-13;3.7119;-0.09;177/A/NBP/2017
2017-09-12;3.7152;-0.13;176/A/NBP/2017
2017-09-11;3.7201;0.02;175/A/NBP/2017
2017-09-08;3.7194;-0.17;174/A/NBP/2017
2017-09-07;3.7256;-0.02;173/A/NBP/2017
2017-09-06;3.7263;0.36;172/A/NBP/2017
2017-09-05;3.7128;-0.59;171/A/NBP/2017
2017-09-04;3.7350;0.58;170/A/NBP/2017
2017-09-01;3.7134;-0.13;169/A/NBP/2017
2017-08-31;3.7184;-0.38;168/A/NBP/2017
2017-08-30;3.7326;-0.22;167/A/NBP/2017
2017-08-29;3.7410;-0.24;166/A/NBP/2017
2017-08-28;3.7501;0.08;165/A/NBP/2017
2017-08-25;3.7472;-0.44;164/A/NBP/2017
2017-08-24;3.7639;0.48;163/A/NBP/2017
2017-08-23;3.7459;-0.44;162/A/NBP/2017
2017-08-22;3.7623;-0.05;161/A/NBP/2017
2017-08-21;3.7641;-0.76;160/A/NBP/2017
