Data;Kurs;Zmiana;Nazwa Tabeli
2017-10-19;4.2381;0.21;203/A/NBP/2017
2017-10-18;4.2293;-0.05;202/A/NBP/2017
2017-10-17;4.2313;-0.32;201/A/NBP/2017
2017-10-16;4.2449;-0.36;200/A/NBP/2017
2017-10-13;4.2603;-0.54;199/A/NBP/2017
2017-10-11;4.2836;-0.27;197/A/NBP/2017
2017-10-10;4.2952;-0.39;196/A/NBP/2017
2017-10-09;4.3121;0.18;195/A/NBP/2017
2017-10-06;4.3042;0.13;194/A/NBP/2017
2017-10-05;4.2985;-0.09;193/A/NBP/2017
2017-10-04;4.3025;-0.19;192/A/NBP/2017
2017-10-03;4.3105;-0.07;191/A/NBP/2017
2017-10-02;4.3137;0.11;190/A/NBP/2017
2017-09-29;4.3091;-0.17;189/A/NBP/2017
2017-09-28;4.3166;0.36;188/A/NBP/2017
2017-09-27;4.3012;0.45;187/A/NBP/2017
2017-09-26;4.2820;0.29;186/A/NBP/2017
2017-09-25;4.2698;-0.11;185/A/NBP/2017
2017-09-22;4.2746;-0.27;184/A/NBP/2017
2017-09-21;4.2863;0.22;183/A/NBP/2017
2017-09-20;4.2769;-0.38;182/A/NBP/2017
2017-09-19;4.2930;0.22;181/A/NBP/2017
2017-09-18;4.2835;0.13;180/A/NBP/2017
2017-09-15;4.2781;-0.13;179/A/NBP/2017
2017-09-14;4.2837;0.37;178/A/NBP/2017
2017-09-13;4.2677;0.39;177/A/NBP/2017
2017-09-12;4.2511;0.20;176/A/NBP/2017
2017-09-11;4.2426;-0.20;175/A/NBP/2017
2017-09-08;4.2511;0.11;174/A/NBP/2017
2017-09-07;4.2466;0.05;173/A/NBP/2017
2017-09-06;4.2446;0.20;172/A/NBP/2017
2017-09-05;4.2361;-0.49;171/A/NBP/2017
2017-09-04;4.2570;0.27;170/A/NBP/2017
2017-09-01;4.2457;-0.38;169/A/NBP/2017
2017-08-31;4.2618;0.02;168/A/NBP/2017
2017-08-30;4.2610;-0.12;167/A/NBP/2017
2017-08-29;4.2661;0.05;166/A/NBP/2017
2017-08-28;4.2640;0.09;165/A/NBP/2017
2017-08-25;4.2600;-0.53;164/A/NBP/2017
2017-08-24;4.2827;0.14;163/A/NBP/2017
2017-08-23;4.2767;-0.01;162/A/NBP/2017
2017-08-22;4.2772;0.06;161/A/NBP/2017
2017-08-21;4.2747;-0.18;160/A/NBP/2017
2017-08-18;4.2826;0.67;159/A/NBP/2017
2017-08-17;4.2541;-0.43;158/A/NBP/2017
2017-08-16;4.2724;-0.23;157/A/NBP/2017
2017-08-14;4.2823;-0.07;156/A/NBP/2017
2017-08-11;4.2851;0.33;155/A/NBP/2017
2017-08-10;4.2709;0.17;154/A/NBP/2017
2017-08-09;4.2638;0.23;153/A/NBP/2017
2017-08-08;4.2541;0.17;152/A/NBP/2017
2017-08-07;4.2469;0.11;151/A/NBP/2017
2017-08-04;4.2423;-0.27;150/A/NBP/2017
2017-08-03;4.2538;0.05;149/A/NBP/2017
2017-08-02;4.2515;-0.08;148/A/NBP/2017
2017-08-01;4.2548;0.01;147/A/NBP/2017
2017-07-31;4.2545;-0.17;146/A/NBP/2017
2017-07-28;4.2617;-0.08;145/A/NBP/2017
2017-07-27;4.2650;0.09;144/A/NBP/2017
2017-07-26;4.2611;0.12;143/A/NBP/2017
2017-07-25;4.2559;0.34;142/A/NBP/2017
2017-07-24;4.2413;0.24;141/A/NBP/2017
2017-07-21;4.2311;0.46;140/A/NBP/2017
