Data;Kurs;Zmiana;Nazwa Tabeli
2017-10-19;4.7208;-0.39;203/A/NBP/2017
2017-10-18;4.7392;-0.66;202/A/NBP/2017
2017-10-17;4.7709;-0.38;201/A/NBP/2017
2017-10-16;4.7889;-0.04;200/A/NBP/2017
2017-10-13;4.7909;0.22;199/A/NBP/2017
2017-10-11;4.7803;-0.54;197/A/NBP/2017
2017-10-10;4.8061;-0.20;196/A/NBP/2017
2017-10-09;4.8158;0.08;195/A/NBP/2017
2017-10-06;4.8121;-0.07;194/A/NBP/2017
2017-10-05;4.8157;-0.83;193/A/NBP/2017
2017-10-04;4.8561;-0.22;192/A/NBP/2017
2017-10-03;4.8668;-0.50;191/A/NBP/2017
2017-10-02;4.8914;0.15;190/A/NBP/2017
2017-09-29;4.8842;-0.35;189/A/NBP/2017
2017-09-28;4.9013;-0.15;188/A/NBP/2017
2017-09-27;4.9086;0.44;187/A/NBP/2017
2017-09-26;4.8873;0.68;186/A/NBP/2017
2017-09-25;4.8543;0.36;185/A/NBP/2017
2017-09-22;4.8369;-0.35;184/A/NBP/2017
2017-09-21;4.8540;0.47;183/A/NBP/2017
2017-09-20;4.8313;0.07;182/A/NBP/2017
2017-09-19;4.8277;-0.79;181/A/NBP/2017
2017-09-18;4.8662;0.29;180/A/NBP/2017
2017-09-15;4.8521;2.14;179/A/NBP/2017
2017-09-14;4.7504;0.42;178/A/NBP/2017
2017-09-13;4.7303;0.28;177/A/NBP/2017
2017-09-12;4.7169;1.31;176/A/NBP/2017
2017-09-11;4.6561;0.56;175/A/NBP/2017
2017-09-08;4.6301;-0.24;174/A/NBP/2017
2017-09-07;4.6411;0.13;173/A/NBP/2017
2017-09-06;4.6349;0.59;172/A/NBP/2017
2017-09-05;4.6075;-0.28;171/A/NBP/2017
2017-09-04;4.6206;0.13;170/A/NBP/2017
2017-09-01;4.6144;-0.08;169/A/NBP/2017
2017-08-31;4.6183;0.21;168/A/NBP/2017
2017-08-30;4.6085;0.51;167/A/NBP/2017
2017-08-29;4.5852;-0.57;166/A/NBP/2017
2017-08-28;4.6117;-0.33;165/A/NBP/2017
2017-08-25;4.6269;-0.61;164/A/NBP/2017
2017-08-24;4.6551;0.25;163/A/NBP/2017
2017-08-23;4.6433;-0.56;162/A/NBP/2017
2017-08-22;4.6694;-0.40;161/A/NBP/2017
2017-08-21;4.6882;-0.35;160/A/NBP/2017
2017-08-18;4.7049;0.67;159/A/NBP/2017
2017-08-17;4.6738;-0.49;158/A/NBP/2017
2017-08-16;4.6970;-0.24;157/A/NBP/2017
2017-08-14;4.7084;-0.41;156/A/NBP/2017
2017-08-11;4.7276;-0.08;155/A/NBP/2017
2017-08-10;4.7315;0.13;154/A/NBP/2017
2017-08-09;4.7252;0.57;153/A/NBP/2017
2017-08-08;4.6986;0.06;152/A/NBP/2017
2017-08-07;4.6958;0.04;151/A/NBP/2017
2017-08-04;4.6938;-1.38;150/A/NBP/2017
2017-08-03;4.7595;0.22;149/A/NBP/2017
2017-08-02;4.7492;-0.27;148/A/NBP/2017
2017-08-01;4.7622;0.21;147/A/NBP/2017
2017-07-31;4.7520;-0.29;146/A/NBP/2017
2017-07-28;4.7657;-0.24;145/A/NBP/2017
2017-07-27;4.7774;0.11;144/A/NBP/2017
2017-07-26;4.7722;0.28;143/A/NBP/2017
2017-07-25;4.7589;0.35;142/A/NBP/2017
2017-07-24;4.7421;0.49;141/A/NBP/2017
2017-07-21;4.7190;-0.85;140/A/NBP/2017
2017-07-20;4.7593;0.13;139/A/NBP/2017
2017-07-19;4.7530;0.07;138/A/NBP/2017
2017-07-18;4.7499;-1.16;137/A/NBP/2017
2017-07-17;4.8055;0.26;136/A/NBP/2017
2017-07-14;4.7931;-0.15;135/A/NBP/2017
2017-07-13;4.8005;0.86;134/A/NBP/2017
2017-07-12;4.7596;-1.02;133/A/NBP/2017
2017-07-11;4.8085;0.56;132/A/NBP/2017
2017-07-10;4.7818;-0.18;131/A/NBP/2017
2017-07-07;4.7906;-0.80;130/A/NBP/2017
2017-07-06;4.8294;-0.13;129/A/NBP/2017
2017-07-05;4.8357;0.13;128/A/NBP/2017
2017-07-04;4.8296;0.15;127/A/NBP/2017
2017-07-03;4.8224;0.19;126/A/NBP/2017
2017-06-30;4.8132;-0.07;125/A/NBP/2017
2017-06-29;4.8168;0.81;124/A/NBP/2017
2017-06-28;4.7783;0.12;123/A/NBP/2017
2017-06-27;4.7728;-0.50;122/A/NBP/2017
2017-06-26;4.7969;-0.38;121/A/NBP/2017
2017-06-23;4.8151;0.05;120/A/NBP/2017
2017-06-22;4.8126;0.20;119/A/NBP/2017
2017-06-21;4.8028;-0.07;118/A/NBP/2017
2017-06-20;4.8064;-0.21;117/A/NBP/2017
2017-06-19;4.8167;-0.07;116/A/NBP/2017
2017-06-16;4.8199;0.87;115/A/NBP/2017
2017-06-14;4.7783;0.64;114/A/NBP/2017
2017-06-13;4.7478;-0.15;113/A/NBP/2017
2017-06-12;4.7547;-0.23;112/A/NBP/2017
2017-06-09;4.7658;-1.68;111/A/NBP/2017
2017-06-08;4.8474;0.89;110/A/NBP/2017
2017-06-07;4.8047;-0.20;109/A/NBP/2017
2017-06-06;4.8143;0.76;108/A/NBP/2017
2017-06-05;4.7782;-0.43;107/A/NBP/2017
2017-06-02;4.7989;0.04;106/A/NBP/2017
2017-06-01;4.7972;0.47;105/A/NBP/2017
2017-05-31;4.7749;-0.83;104/A/NBP/2017
2017-05-30;4.8147;0.33;103/A/NBP/2017
2017-05-29;4.7987;0.09;102/A/NBP/2017
2017-05-26;4.7942;-0.61;101/A/NBP/2017
2017-05-25;4.8238;-1.08;100/A/NBP/2017
2017-05-24;4.8766;0.53;099/A/NBP/2017
2017-05-23;4.8508;-0.37;098/A/NBP/2017
2017-05-22;4.8689;-0.74;097/A/NBP/2017
2017-05-19;4.9054;-0.66;096/A/NBP/2017
2017-05-18;4.9380;0.92;095/A/NBP/2017
2017-05-17;4.8928;-0.04;094/A/NBP/2017
2017-05-16;4.8948;-1.58;093/A/NBP/2017
2017-05-15;4.9735;-0.32;092/A/NBP/2017
2017-05-12;4.9897;-0.30;091/A/NBP/2017
2017-05-11;5.0047;-0.39;090/A/NBP/2017
2017-05-10;5.0244;0.24;089/A/NBP/2017
2017-05-09;5.0122;0.65;088/A/NBP/2017
2017-05-08;4.9800;0.02;087/A/NBP/2017
2017-05-05;4.9792;-0.01;086/A/NBP/2017
