Data;Kurs;Zmiana;Nazwa Tabeli
2017-10-19;3.5896;-0.31;203/A/NBP/2017
2017-10-18;3.6006;0.12;202/A/NBP/2017
2017-10-17;3.5964;-0.11;201/A/NBP/2017
2017-10-16;3.6004;-0.02;200/A/NBP/2017
2017-10-13;3.6010;-0.58;199/A/NBP/2017
2017-10-11;3.6219;-0.68;197/A/NBP/2017
2017-10-10;3.6468;-0.75;196/A/NBP/2017
2017-10-09;3.6743;-0.15;195/A/NBP/2017
2017-10-06;3.6799;0.81;194/A/NBP/2017
2017-10-05;3.6502;-0.26;193/A/NBP/2017
2017-10-04;3.6597;-0.38;192/A/NBP/2017
2017-10-03;3.6737;0.03;191/A/NBP/2017
2017-10-02;3.6726;0.57;190/A/NBP/2017
2017-09-29;3.6519;-0.44;189/A/NBP/2017
2017-09-28;3.6682;0.09;188/A/NBP/2017
2017-09-27;3.6650;1.15;187/A/NBP/2017
2017-09-26;3.6234;1.03;186/A/NBP/2017
2017-09-25;3.5866;0.60;185/A/NBP/2017
2017-09-22;3.5651;-0.90;184/A/NBP/2017
2017-09-21;3.5975;1.00;183/A/NBP/2017
2017-09-20;3.5619;-0.56;182/A/NBP/2017
2017-09-19;3.5821;-0.17;181/A/NBP/2017
2017-09-18;3.5881;0.05;180/A/NBP/2017
2017-09-15;3.5863;-0.34;179/A/NBP/2017
2017-09-14;3.5984;1.00;178/A/NBP/2017
2017-09-13;3.5627;0.21;177/A/NBP/2017
2017-09-12;3.5552;0.73;176/A/NBP/2017
2017-09-11;3.5293;0.15;175/A/NBP/2017
2017-09-08;3.5239;-0.77;174/A/NBP/2017
2017-09-07;3.5511;-0.08;173/A/NBP/2017
2017-09-06;3.5538;-0.29;172/A/NBP/2017
2017-09-05;3.5642;-0.21;171/A/NBP/2017
2017-09-04;3.5718;0.07;170/A/NBP/2017
2017-09-01;3.5693;-0.36;169/A/NBP/2017
2017-08-31;3.5822;0.40;168/A/NBP/2017
2017-08-30;3.5678;0.87;167/A/NBP/2017
2017-08-29;3.5372;-1.02;166/A/NBP/2017
2017-08-28;3.5736;-1.04;165/A/NBP/2017
2017-08-25;3.6112;-0.60;164/A/NBP/2017
2017-08-24;3.6329;0.15;163/A/NBP/2017
2017-08-23;3.6274;-0.17;162/A/NBP/2017
2017-08-22;3.6334;-0.20;161/A/NBP/2017
2017-08-21;3.6408;-0.14;160/A/NBP/2017
2017-08-18;3.6459;0.55;159/A/NBP/2017
2017-08-17;3.6258;-0.49;158/A/NBP/2017
2017-08-16;3.6435;0.43;157/A/NBP/2017
2017-08-14;3.6278;-0.47;156/A/NBP/2017
2017-08-11;3.6449;0.05;155/A/NBP/2017
2017-08-10;3.6432;0.25;154/A/NBP/2017
2017-08-09;3.6342;0.87;153/A/NBP/2017
2017-08-08;3.6027;0.09;152/A/NBP/2017
2017-08-07;3.5995;0.82;151/A/NBP/2017
2017-08-04;3.5702;-0.60;150/A/NBP/2017
2017-08-03;3.5918;0.15;149/A/NBP/2017
2017-08-02;3.5863;-0.36;148/A/NBP/2017
2017-08-01;3.5991;-0.75;147/A/NBP/2017
2017-07-31;3.6264;-0.39;146/A/NBP/2017
2017-07-28;3.6406;0.11;145/A/NBP/2017
2017-07-27;3.6366;-0.80;144/A/NBP/2017
2017-07-26;3.6661;0.39;143/A/NBP/2017
2017-07-25;3.6519;0.34;142/A/NBP/2017
2017-07-24;3.6395;0.21;141/A/NBP/2017
2017-07-21;3.6320;-0.78;140/A/NBP/2017
2017-07-20;3.6604;0.32;139/A/NBP/2017
2017-07-19;3.6486;0.05;138/A/NBP/2017
2017-07-18;3.6469;-0.81;137/A/NBP/2017
2017-07-17;3.6767;-0.59;136/A/NBP/2017
2017-07-14;3.6986;-0.40;135/A/NBP/2017
2017-07-13;3.7133;0.27;134/A/NBP/2017
2017-07-12;3.7034;-0.54;133/A/NBP/2017
2017-07-11;3.7235;0.20;132/A/NBP/2017
2017-07-10;3.7160;0.25;131/A/NBP/2017
2017-07-07;3.7068;-0.76;130/A/NBP/2017
2017-07-06;3.7351;-0.32;129/A/NBP/2017
2017-07-05;3.7471;0.26;128/A/NBP/2017
2017-07-04;3.7372;0.47;127/A/NBP/2017
2017-07-03;3.7196;0.36;126/A/NBP/2017
2017-06-30;3.7062;-0.16;125/A/NBP/2017
2017-06-29;3.7122;-0.34;124/A/NBP/2017
2017-06-28;3.7249;-0.52;123/A/NBP/2017
2017-06-27;3.7442;-0.56;122/A/NBP/2017
2017-06-26;3.7653;-0.45;121/A/NBP/2017
2017-06-23;3.7824;-0.47;120/A/NBP/2017
2017-06-22;3.8002;-0.23;119/A/NBP/2017
2017-06-21;3.8090;0.60;118/A/NBP/2017
2017-06-20;3.7862;0.66;117/A/NBP/2017
2017-06-19;3.7615;-0.36;116/A/NBP/2017
2017-06-16;3.7749;0.67;115/A/NBP/2017
2017-06-14;3.7497;0.32;114/A/NBP/2017
2017-06-13;3.7379;0.08;113/A/NBP/2017
2017-06-12;3.7350;-0.31;112/A/NBP/2017
2017-06-09;3.7465;0.17;111/A/NBP/2017
2017-06-08;3.7400;0.43;110/A/NBP/2017
2017-06-07;3.7241;-0.02;109/A/NBP/2017
2017-06-06;3.7250;0.50;108/A/NBP/2017
2017-06-05;3.7066;-0.69;107/A/NBP/2017
2017-06-02;3.7323;0.16;106/A/NBP/2017
2017-06-01;3.7262;-0.25;105/A/NBP/2017
2017-05-31;3.7354;-0.31;104/A/NBP/2017
2017-05-30;3.7471;0.27;103/A/NBP/2017
2017-05-29;3.7371;0.33;102/A/NBP/2017
2017-05-26;3.7248;0.19;101/A/NBP/2017
2017-05-25;3.7177;-0.95;100/A/NBP/2017
2017-05-24;3.7535;0.48;099/A/NBP/2017
2017-05-23;3.7354;-0.46;098/A/NBP/2017
2017-05-22;3.7526;-0.55;097/A/NBP/2017
