Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,9.71,9.95,9.71,9.95,185
2012-01-03,9.75,9.95,9.7,9.7,3481
2012-01-04,9.7,9.7,9.58,9.69,291
2012-01-05,9.9,10,9.9,10,51
2012-01-09,10,10,9.75,9.81,439
2012-01-10,9.82,10,9.82,9.9,624
2012-01-11,10,10.25,10,10.25,536
2012-01-12,10.25,10.89,10.25,10.8,4511
2012-01-13,10.38,11.4,10.25,10.31,2849
2012-01-16,10.35,10.69,10.35,10.69,465
2012-01-17,11,11.25,10.85,10.85,1060
2012-01-18,10.8,10.9,10.7,10.7,731
2012-01-19,11.1,12.2,11.1,11.64,17824
2012-01-20,11.65,11.65,11.3,11.65,608
2012-01-23,11.31,12,11.2,11.48,3290
2012-01-24,11.27,11.4,11.1,11.2,3725
2012-01-25,11.25,13.5,11.25,12.38,12240
2012-01-26,12.5,12.77,11.26,12.28,8736
2012-01-27,12.28,12.28,11.4,12,1467
2012-01-30,12.01,12.01,11.4,12,1997
2012-01-31,12,12.39,11.8,12.39,549
2012-02-01,12.7,14.47,12.7,13.5,25691
2012-02-02,13.32,13.32,12.4,12.49,5461
2012-02-03,12.6,13,12.51,12.7,4758
2012-02-06,12.68,13.05,12.52,12.95,2199
2012-02-07,12.99,12.99,12.79,12.89,1995
2012-02-08,12.95,13.3,12.9,13.29,4159
2012-02-09,13.54,14.01,13,13.9,5759
2012-02-10,14.2,14.39,13.5,14,10361
2012-02-13,13.9,13.9,13.4,13.74,3963
2012-02-14,13.75,14.25,13.4,13.89,5550
2012-02-15,12.77,12.99,11.6,12.17,24834
2012-02-16,12.2,13.2,11.72,11.85,12205
2012-02-17,11.8,12.5,11.8,11.99,2994
2012-02-20,11.83,11.85,10.5,11.21,8009
2012-02-21,11.08,11.39,10.9,11.39,1568
2012-02-22,11.3,11.59,11.3,11.3,1446
2012-02-23,11.1,11.2,10.81,11,2372
2012-02-24,11,11.05,10.86,11,998
2012-02-27,11,11.2,10.95,11,1684
2012-02-28,11.1,11.89,11.1,11.89,716
2012-02-29,11.89,11.89,11.01,11.19,975
2012-03-01,11.01,11.2,11.01,11.2,72
2012-03-02,11.2,11.45,11.15,11.45,685
2012-03-05,11.57,11.57,10.91,10.92,2282
2012-03-06,10.92,10.92,10.25,10.25,7854
2012-03-07,10.23,10.6,10,10.2,5812
2012-03-08,10.5,10.56,10.49,10.56,846
2012-03-09,10.65,11.66,10.5,10.5,6656
2012-03-12,10.9,10.9,10.31,10.45,2862
2012-03-13,10.5,10.58,10.31,10.31,211
2012-03-14,10.28,10.75,10.28,10.3,1405
2012-03-15,10.31,10.55,10.31,10.55,730
2012-03-16,10.55,10.6,10.21,10.26,2808
2012-03-19,10.39,10.42,10.28,10.42,2501
2012-03-20,10.3,10.45,10.25,10.35,473
2012-03-21,10.39,10.39,10.15,10.29,585
2012-03-22,10.2,10.29,10,10,1807
2012-03-23,10,10.14,9.9,10.07,2232
2012-03-26,10.08,10.08,9.8,9.8,1296
2012-03-27,9.8,10,9,9.25,10279
2012-03-28,9.25,9.85,9.25,9.85,2111
2012-03-29,9.7,9.7,9.32,9.5,181
2012-03-30,9.5,10.34,9.5,10.34,11343
2012-04-02,10.49,10.7,10.25,10.53,2454
2012-04-03,10.5,10.5,10.09,10.14,1540
2012-04-04,10.12,10.24,9.9,9.98,1634
2012-04-05,9.99,10,9.7,9.7,1223
