Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-03,270,270,270,270,5
2012-01-04,267.9,269.4,267.9,269.4,18
2012-01-05,269,269,269,269,9
2012-01-09,263,263,263,263,48
2012-01-10,269.4,270.3,269.3,269.3,39
2012-01-11,267.5,267.5,267.5,267.5,36
2012-01-17,270,270,270,270,10
2012-01-23,270.8,270.8,270.8,270.8,30
2012-01-24,274,274,266.3,268.6,27
2012-01-25,269.8,269.8,269.8,269.8,2
2012-01-26,270.8,270.8,270.6,270.6,18
2012-01-27,271,271,269.9,270.8,82
2012-01-30,268.9,268.9,268.9,268.9,4
2012-01-31,268.2,268.2,267,267,27
2012-02-02,271.7,272.4,271.7,272.4,10
2012-02-03,273.8,275,273.8,275,47
2012-02-06,275,275,275,275,3
2012-02-07,276,276,276,276,15
2012-02-13,276.5,276.7,276.5,276.7,26
2012-02-14,275.3,275.3,275.3,275.3,20
2012-02-16,275.1,275.1,275.1,275.1,4
2012-02-17,280,280,280,280,1
2012-02-20,299.9,299.9,281,282.8,94
2012-02-22,299.9,299.9,281.9,281.9,9
2012-02-24,282,282,282,282,30
2012-02-27,282,282,279,279,4003
2012-02-28,279,279.2,278.8,279.2,4008
2012-02-29,280.5,280.5,279,279.2,29
2012-03-01,276.4,278.1,276.4,278.1,82
2012-03-02,279,279,278.4,278.4,46
2012-03-05,278.1,278.1,278.1,278.1,20
2012-03-06,277.7,277.7,277.7,277.7,2
2012-03-07,270.1,270.5,269.8,270.5,36
2012-03-08,273.5,273.5,273.5,273.5,10
2012-03-09,274.8,274.8,274.8,274.8,20
2012-03-12,275.8,275.8,275.8,275.8,8
2012-03-15,290,290,286.1,286.1,21
2012-03-16,288.5,288.5,288.5,288.5,1
2012-03-19,287,287,286.5,286.5,42
2012-03-21,286.1,286.1,286.1,286.1,20
2012-03-22,286.1,286.1,283.1,283.1,20
2012-03-23,283.8,283.8,283.8,283.8,8
2012-03-27,287,287,287,287,8
2012-03-28,287,287,287,287,4
2012-04-03,285,285,284.5,284.5,20
2012-04-04,280,280,279.5,279.5,12
2012-04-05,276.3,276.3,272.8,272.8,27
2012-04-10,274,274,272.5,272.5,20
2012-04-12,272,274,272,274,71
2012-04-13,270,270,270,270,17
2012-04-16,271.5,272,271.5,272,41
2012-04-17,275,276.5,275,276.5,25
2012-04-19,275,275,274,274,45
2012-04-20,273.2,276,273.2,276,239
2012-04-23,274,274,268,268,25
2012-04-24,268.45,269.6,268.45,269.6,2018
2012-04-27,275.2,277.8,275.2,277.8,26
2012-04-30,277.5,277.5,277.5,277.5,4
2012-05-04,270,270,270,270,16
2012-05-07,267.7,267.7,267.7,267.7,4
2012-05-08,266,266.1,266,266.1,179
2012-05-09,265,265,265,265,7
2012-05-10,268.7,268.7,268.7,268.7,10
2012-05-14,271,271,271,271,13
2012-05-15,272.2,272.2,272.2,272.2,10
2012-05-16,281,281,270.4,270.4,3
2012-05-17,270.2,270.2,268,268.9,296
2012-05-18,267.6,267.6,267,267,23
2012-05-22,270.7,270.7,270.7,270.7,15
2012-05-23,270.4,270.4,270.4,270.4,4
2012-05-24,267.5,267.5,267.3,267.3,2
2012-05-25,268,268,268,268,30
2012-05-28,270.6,270.6,270.6,270.6,7
2012-05-29,272.3,272.3,272.3,272.3,7
2012-05-31,269.4,269.4,269.4,269.4,56
2012-06-01,267.4,267.4,265.1,265.1,30
2012-06-04,257.4,258.5,255.8,258.5,61
2012-06-08,260,260,255.5,255.5,122
2012-06-11,262.4,262.4,261.1,261.1,55
2012-06-12,283,283,260.2,261.2,62
2012-06-13,261.9,261.9,258,258,74
2012-06-14,255,258.7,255,257.8,60
2012-06-15,259,259,259,259,90
2012-06-18,261.8,261.8,261.3,261.3,25
2012-06-19,261.7,261.8,261.7,261.8,300
2012-06-20,263.4,264.8,263.3,263.5,86
2012-06-21,264,265.4,264,265.4,323
2012-06-22,261.8,261.8,261.8,261.8,3
2012-06-25,256.5,256.5,254.8,255.6,410
2012-06-26,255.1,255.5,254.3,254.3,126
2012-06-27,255.8,255.8,255.8,255.8,20
2012-06-28,258.5,258.9,258.5,258.9,119
2012-06-29,261.5,264,261.2,264,25
2012-07-02,264.2,264.2,264.2,264.2,400
2012-07-03,266.8,269,266.8,269,24
2012-07-04,268,268,268,268,20
2012-07-05,271,271.9,268.5,268.5,52
2012-07-09,264.7,264.7,264.7,264.7,3
2012-07-10,265,265,264,264,35
2012-07-11,262.4,263,262.4,263,405
2012-07-12,261,262.8,261,262.8,131
2012-07-16,268.3,268.3,268.3,268.3,30
2012-07-17,281,281,268.7,268.7,6
2012-07-18,268.7,270.2,268.7,270.2,514
2012-07-20,270,270,270,270,1
2012-07-23,268,268,262.6,264.3,87
2012-07-25,263.6,263.8,261.8,261.8,1016
2012-07-26,259.9,263.8,258.9,263.8,1001
2012-07-27,265.3,268.8,265.3,268.8,24
2012-07-30,271.5,272.5,271.5,272.5,60
2012-07-31,272.5,272.5,272.4,272.4,16
2012-08-01,273,273,270.9,270.9,52
2012-08-02,273.5,273.5,267.5,267.5,55
2012-08-03,268.9,272.3,268.9,272.3,40
2012-08-06,272.5,272.5,272.5,272.5,27
2012-08-08,277.2,277.2,277.1,277.1,37
2012-08-09,276,276,276,276,19
2012-08-10,276,276,276,276,3
2012-08-14,278,278,277.7,277.7,20
2012-08-16,276,276,276,276,5
2012-08-17,277.8,277.8,277.8,277.8,10
2012-08-20,279.3,281,278.4,279.4,77
2012-08-22,279,279,279,279,7
2012-08-23,280,280,280,280,25
2012-08-27,287.4,287.4,277,278.2,45
2012-08-29,280.5,284.9,280.5,284.9,54
2012-08-30,283.9,283.9,283.9,283.9,19
2012-09-03,286,286,286,286,19
2012-09-06,287.6,287.6,287.6,287.6,5
2012-09-07,289.4,290.2,289.4,290,52
2012-09-10,288.7,289.6,288.7,289.6,11
2012-09-11,288,288,288,288,19
2012-09-12,290.7,290.7,290.7,290.7,490
2012-09-14,293.3,293.5,293.3,293.5,204
2012-09-17,296.2,296.9,296.2,296.9,24
2012-09-18,294,296.1,294,296.1,23
2012-09-19,296.5,298.7,295.4,298.7,61
2012-09-20,297.9,299,297.9,299,210
2012-09-21,298.5,298.5,298.5,298.5,4
2012-09-25,299.8,299.8,299.8,299.8,3
2012-09-26,295.7,295.7,294.5,294.5,67
2012-09-27,295.9,295.9,295.5,295.5,25
2012-09-28,294.9,294.9,290.5,290.5,44
2012-10-01,292.9,292.9,292.9,292.9,10
2012-10-02,292.8,293.4,292.8,292.8,71
2012-10-03,292,292,292,292,5
2012-10-04,292,292,292,292,3
2012-10-05,292.8,292.8,292.8,292.8,15
2012-10-08,290.7,290.7,290,290,2
2012-10-10,287.9,287.9,287.9,287.9,4
2012-10-11,287.7,290.4,287.7,290.4,10
2012-10-16,291,291,291,291,10
2012-10-17,294.4,294.4,294.3,294.3,11
2012-10-22,297,297,297,297,3
2012-10-23,292.7,292.7,292.7,292.7,102
2012-10-24,290.6,290.6,290.6,290.6,18
2012-10-26,290.5,290.6,290,290.6,24
2012-10-29,291.4,291.4,290.9,291.1,17
2012-10-30,293.1,293.1,293.1,293.1,10
2012-10-31,295.5,295.5,295.5,295.5,10
2012-11-05,295,295,293.3,294.6,26
2012-11-06,296.3,296.3,296.3,296.3,3
2012-11-08,294.3,294.3,294.3,294.3,1
2012-11-09,289.9,291.2,287.4,291.2,70
2012-11-13,289,289,289,289,7
2012-11-14,291.9,291.9,290.2,290.2,9
2012-11-15,287.1,287.1,287.1,287.1,4
2012-11-16,285.4,285.4,284.9,284.9,27
2012-11-19,313,313,284.1,284.9,93
2012-11-20,288.2,288.2,288.2,288.2,2
2012-11-26,296,296,296,296,20
2012-11-27,293.3,293.7,293.3,293.7,29
2012-11-30,296.5,296.9,296.5,296.9,10
2012-12-03,297,297,297,297,7
2012-12-04,300.4,300.4,300.4,300.4,8
2012-12-05,301,301,299.9,299.9,6
2012-12-06,301.5,302.5,301.5,302.5,30
2012-12-07,303.3,303.3,302.3,302.3,27
2012-12-10,301.6,301.6,299.3,299.3,107
2012-12-11,299,302.2,299,302.2,37
2012-12-12,303.4,304.5,303.4,304.5,69
2012-12-13,303,303,303,303,2
2012-12-14,303.9,303.9,303,303,16
2012-12-17,302.1,302.1,302.1,302.1,3
2012-12-18,305,305,305,305,17
2012-12-19,304.3,305.4,304.3,305.4,16
2012-12-20,304,304.3,303.7,303.7,285
2012-12-21,302,302.3,301.4,301.4,22
2012-12-27,305,305,304.5,304.5,59
2012-12-28,302.8,302.8,302.8,302.8,7
2013-01-02,307.3,308.5,307.3,308.5,37
2013-01-03,307.9,309,307.9,309,16
2013-01-04,311.3,311.3,311.3,311.3,1
2013-01-07,340,340,310.3,310.3,62
2013-01-08,309,309,309,309,3
2013-01-11,307.8,307.8,307.8,307.8,14
2013-01-14,311.7,311.7,310.4,310.4,42
2013-01-15,307.77,307.77,307.77,307.77,18
2013-01-18,311.7,312.6,311.6,312.6,13
2013-01-23,312.6,312.6,312.6,312.6,20
2013-01-24,314.5,314.5,314.5,314.5,7
2013-01-25,318.7,318.7,318.7,318.7,14
2013-01-28,320.3,320.3,320.2,320.2,9
2013-01-29,320.5,320.7,320,320,18
2013-01-30,320.6,320.6,320.3,320.3,160
2013-02-01,319,319,317.8,317.8,16
2013-02-04,317,317,312.5,312.5,36
2013-02-05,312.5,312.5,312.5,312.5,2
2013-02-06,307.8,307.8,307.8,307.8,6
2013-02-07,310.9,310.9,310.9,310.9,12
2013-02-08,309.6,309.6,308.4,308.4,62
2013-02-11,290,309.5,290,308.2,30
2013-02-13,311.55,313.2,311.55,313.2,51
2013-02-14,310.5,310.5,310.5,310.5,4
2013-02-15,311.1,311.1,309.7,309.7,8
2013-02-18,310,310,309.7,309.7,12
2013-02-19,313.8,314.5,313.8,314.5,37
2013-02-20,314.5,314.7,314,314,37
2013-02-21,315,315,308.6,308.6,28
2013-02-22,309.2,310.7,309.2,310.7,32
2013-02-25,314.1,316.7,312.9,312.9,8008
2013-02-27,308.8,308.9,308.8,308.9,12
2013-02-28,311.8,312.9,311.8,312.9,12
2013-03-01,309.5,310.9,308,310.9,18
2013-03-05,316,316,315.9,315.9,23
2013-03-06,319,320.1,319,319.2,11
2013-03-07,319.9,321.4,319.9,321.2,2035
2013-03-08,322.4,322.4,322,322,13
2013-03-11,352,352,320.3,320.5,43
2013-03-12,320,322.9,320,320.8,76
2013-03-13,320.8,320.8,320.8,320.8,2
2013-03-14,350,350,350,350,3
2013-03-15,347.85,347.85,325,325,1058
2013-03-18,326,326,321,322.8,42
2013-03-19,322.8,323,322,323,3021
2013-03-20,324.8,325,323.6,324.2,4036
2013-03-21,322.9,322.9,321.6,321.6,42
2013-03-22,322.9,322.9,322.2,322.2,11
2013-03-25,324.9,324.9,319.3,319.3,8
