Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-03,40.145,40.909,40.145,40.624,653
2012-01-04,40.743,41.149,40.624,41.011,1578
2012-01-05,41.369,41.627,41.369,41.579,835
2012-01-09,45.424,45.424,41.856,41.856,370
2012-01-10,42.17,42.17,41.938,41.938,522
2012-01-11,45.341,45.341,41.847,41.847,539
2012-01-12,42.17,42.17,41.296,41.296,678
2012-01-13,41.406,41.406,41.406,41.406,23
2012-01-16,41.819,41.819,41.598,41.598,298
2012-01-17,41.7,41.718,41.46,41.46,2464
2012-01-18,41.618,41.618,40.715,40.936,436
2012-01-19,41.176,41.176,40.864,40.991,512
2012-01-20,40.873,40.873,40.873,40.873,37
2012-01-23,40.413,40.651,39.979,39.979,2882
2012-01-24,40.468,40.468,40.294,40.376,43
2012-01-25,40.376,40.468,40.376,40.468,29
2012-01-26,39.998,39.998,39.869,39.869,156
2012-01-27,39.777,39.834,39.005,39.834,2080
2012-01-30,39.365,39.557,39.365,39.557,126
2012-01-31,39.561,39.561,39.19,39.43,389
2012-02-01,39.428,39.428,39.299,39.299,26
2012-02-02,39.225,39.465,39.163,39.365,2326
2012-02-03,39.446,39.548,39.446,39.548,328
2012-02-07,39.548,39.548,39.548,39.548,12
2012-02-08,41.386,41.386,39.437,39.548,489
2012-02-09,39.538,39.621,39.538,39.621,95
2012-02-10,39.843,39.998,39.455,39.998,153
2012-02-13,40.1,40.1,39.888,39.888,319
2012-02-14,39.824,39.86,39.658,39.658,286
2012-02-15,40.247,40.55,40.028,40.55,56267
2012-02-16,40.936,40.936,40.431,40.743,18205
2012-02-17,40.936,40.936,40.028,40.09,65277
2012-02-20,40.358,40.358,40.182,40.182,396
2012-02-21,40.192,40.192,40.165,40.165,9
2012-02-22,41.736,41.736,40.247,40.247,12
2012-02-23,40.247,40.247,39.787,39.787,124
2012-02-24,39.752,39.752,39.64,39.64,98
2012-02-27,39.64,39.64,39.29,39.401,227
2012-02-28,39.088,39.088,39.088,39.088,105
2012-02-29,39.088,39.374,39.079,39.079,82
2012-03-01,39.163,39.428,39.079,39.079,208
2012-03-02,39.365,39.594,39.365,39.594,192
2012-03-05,41.258,41.258,39.852,39.852,260
2012-03-06,39.677,39.804,39.63,39.63,168
2012-03-07,39.64,40.062,39.64,40.062,332
2012-03-08,40.192,40.192,39.446,39.446,213
2012-03-09,39.64,39.64,39.548,39.548,436
2012-03-13,40.319,40.319,40.319,40.319,10
2012-03-14,40.946,41.296,40.946,41.203,372
2012-03-15,41.111,41.479,41.111,41.479,36
2012-03-16,41.386,41.396,41.386,41.396,34
2012-03-19,41.847,41.847,40.974,40.974,37
2012-03-20,40.974,41.093,40.974,40.982,254
2012-03-21,40.982,40.982,40.982,40.982,20
2012-03-22,41.305,41.305,40.864,40.864,2170
2012-03-26,40.79,40.79,40.79,40.79,10
2012-03-27,41.121,41.121,41.111,41.111,40
2012-03-28,41.111,41.157,41.111,41.157,23
2012-03-29,40.955,40.955,40.955,40.955,193
2012-04-02,40.909,40.936,40.909,40.928,16337
2012-04-03,40.928,41.019,40.928,41.019,110
2012-04-04,41.111,41.386,41.111,41.386,114
2012-04-05,41.057,41.588,41.057,41.588,101
2012-04-10,41.801,41.801,41.13,41.277,158
2012-04-11,40.928,40.928,40.928,40.928,135
2012-04-12,40.468,41.001,40.468,40.928,229
2012-04-13,41.195,41.195,41.195,41.195,3
2012-04-16,41.047,41.425,41.047,41.425,55
2012-04-17,41.801,41.801,41.14,41.14,59
2012-04-18,41.36,41.36,41.36,41.36,36
2012-04-19,41.46,41.46,41.149,41.149,3316
2012-04-23,41.847,41.847,41.847,41.847,3284
2012-04-24,40.651,41.011,40.605,40.605,7621
2012-04-25,41.047,41.047,40.624,40.624,5575
2012-04-26,40.835,40.835,40.835,40.835,34
2012-04-27,41.545,41.545,41.435,41.479,59
2012-04-30,41.369,41.369,40.928,40.928,157
2012-05-02,41.36,41.627,41.36,41.627,15
2012-05-07,40.982,40.982,40.982,40.982,89
2012-05-08,40.982,40.982,40.781,40.781,157
2012-05-09,40.79,40.79,40.79,40.79,5
2012-05-10,41.545,41.545,41.545,41.545,2
2012-05-11,41.618,41.618,41.618,41.618,35
2012-05-14,42.078,42.078,41.645,41.894,321
2012-05-15,42.031,42.528,42.031,42.528,117
2012-05-16,42.675,42.675,42.418,42.675,575
2012-05-17,42.49,42.49,42.428,42.428,52
2012-05-18,41.938,41.938,41.793,41.793,74
2012-05-21,41.386,41.386,41.386,41.386,4
2012-05-22,41.636,41.929,41.636,41.929,73
2012-05-23,42.563,42.563,42.343,42.343,27
2012-05-24,42.409,42.821,42.409,42.821,24
2012-05-28,42.97,43.033,42.97,43.033,42
2012-05-29,43.217,43.217,43.217,43.217,47
2012-05-30,43.217,43.217,43.217,43.217,5
2012-05-31,43.244,43.584,43.244,43.584,436
2012-06-01,43.411,43.513,43.411,43.513,163
2012-06-04,43.513,43.513,43.513,43.513,1
2012-06-05,41.655,41.655,41.655,41.655,217
2012-06-06,43.227,43.227,41.847,41.847,309
2012-06-08,42.197,42.197,42.105,42.105,395
2012-06-11,42.769,42.769,42.769,42.769,240
2012-06-12,43.871,43.871,42.49,42.49,427
2012-06-13,42.978,42.978,42.933,42.933,178
2012-06-14,42.51,42.51,42.51,42.51,22
2012-06-15,42.352,42.352,42.352,42.352,28
