Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,216,219.5,215.42,219,117
2012-01-03,219.99,220.53,218.51,220.53,15856
2012-01-04,220.44,225,215.5,225,4766
2012-01-05,218.56,218.56,214,217.1,23005
2012-01-09,217.83,217.83,213.1,213.1,550
2012-01-10,214,216.8,214,214.3,27108
2012-01-11,216.1,216.1,211.52,213.3,5833
2012-01-12,213.77,218.5,213.77,216.75,1784
2012-01-13,217.63,219.6,214,216.44,1036
2012-01-16,215.7,220.09,214.81,219.01,20358
2012-01-17,221.2,223.6,221.1,221.99,2786
2012-01-18,223.45,223.61,221,223.2,873
2012-01-19,224.66,224.66,220.92,222.9,5390
2012-01-20,224,224.81,223.25,224.39,1338
2012-01-23,226.32,227.18,225,225.86,747
2012-01-24,226.8,226.8,224.36,224.46,2143
2012-01-25,226,226.2,224.26,225.4,862
2012-01-26,227.43,231.9,226.37,230.8,6234
2012-01-27,231.23,232.1,229.3,231.2,1208
2012-01-30,230.43,231,228.44,231,4500
2012-01-31,231.9,234,230.91,230.91,2722
2012-02-01,233.29,235.99,233,235.33,4010
2012-02-02,236,236.78,234.3,236.78,4505
2012-02-03,237,239,235.92,236.2,308
2012-02-06,236.88,237.1,236.29,237.1,490
2012-02-07,239,239,234.72,235.8,618
2012-02-08,237.71,238.5,236.5,236.5,586
2012-02-09,238.88,238.88,233.9,234.4,4939
2012-02-10,234.41,234.41,230.98,231.99,100473
2012-02-13,232.7,233.29,232.2,232.2,1358
2012-02-14,233,234.68,231.48,232.29,587
2012-02-15,234,234,231,232.29,239
2012-02-16,232.12,232.65,230.2,232.65,341
2012-02-17,235.02,235.02,233,234,1864
2012-02-20,234.9,237,234.9,235,2270
2012-02-21,236.01,236.01,233.01,234.64,255
2012-02-22,238.5,238.5,230.6,230.8,9462
2012-02-23,231,232.44,230,230,480
2012-02-24,231,231.84,230,230.83,547
2012-02-27,238,238,227.3,230.43,1065
2012-02-28,231.63,231.92,230,230,862
2012-02-29,233.7,233.7,229.69,229.69,2306
2012-03-01,237,237,229,230,656
2012-03-02,230.98,232.21,230,230.12,924
2012-03-05,234.8,234.8,227.5,227.5,848
2012-03-06,227,227,223,223.42,1210
2012-03-07,225,225.29,223.02,224.9,2292
2012-03-08,233.78,233.78,227.49,227.49,319
2012-03-09,230.3,230.3,228.13,229.11,408
2012-03-12,228.5,228.93,227.5,227.53,9523
2012-03-13,228.38,229.63,228.38,229.43,234
2012-03-14,235.7,235.7,231.9,233.8,2352
2012-03-15,233.86,234.35,232.67,233.6,20508
2012-03-16,234.75,235,233.6,233.9,11231
2012-03-19,233.94,233.94,231.16,232.6,526
2012-03-20,232.63,232.63,229.52,229.72,30967
2012-03-21,230.99,231.3,228.57,229.4,950
2012-03-22,230.02,230.02,225.4,226,757
2012-03-23,230,230,225,225.5,1116
2012-03-26,226.25,230.86,226.25,230.35,230
2012-03-27,231.91,232.85,230.91,230.91,469
2012-03-28,231,232,230.01,230.01,489
2012-03-29,229.8,229.8,226.33,226.33,786
2012-03-30,228.34,228.84,226.6,226.6,370
2012-04-02,228.91,229.8,227,229.7,268
2012-04-03,230.74,231.18,229.55,230,460
2012-04-04,230,230,225.56,225.71,1564
2012-04-05,225.8,226,224,225.35,5236
2012-04-10,226.5,226.5,222.3,222.3,894
2012-04-11,225.4,225.8,221,225.6,773
2012-04-12,224.3,227.2,224.3,227.2,5350
2012-04-13,229.8,229.8,223.5,223.5,1067
2012-04-16,224,225.5,223.11,225.4,338
2012-04-17,225.1,227.85,225,227.7,36288
2012-04-18,228.13,228.13,224.09,224.09,6437
2012-04-19,225,225.3,223,224.29,5132
2012-04-20,224.13,224.13,221.1,222.7,762
2012-04-23,222,222,215.66,215.66,5259
2012-04-24,220,220,215.66,217.76,335
