Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,73.901,79.513,73.233,78.777,1223299
2012-01-03,79.045,79.179,75.571,77.709,2013469
2012-01-04,76.773,77.575,75.237,76.84,967054
2012-01-05,77.308,77.375,74.502,76.173,730794
2012-01-09,76.639,77.308,74.235,74.235,1618699
2012-01-10,75.438,76.974,75.438,76.173,1872847
2012-01-11,76.44,76.974,75.838,76.84,1671365
2012-01-12,76.773,82.922,76.773,82.588,5346985
2012-01-13,82.787,84.993,81.517,82.454,1823532
2012-01-16,81.517,82.988,81.517,82.854,629768
2012-01-17,84.926,86.596,84.859,85.86,1812740
2012-01-18,86.73,87.398,85.126,86.996,1142140
2012-01-19,87.398,87.866,80.047,86.796,2630589
2012-01-20,86.73,86.796,85.393,86.796,712402
2012-01-23,86.463,87.465,85.928,86.529,784376
2012-01-24,86.194,87.664,84.658,87.598,988134
2012-01-25,87.598,88.066,85.326,85.86,1341046
2012-01-26,86.463,89.536,85.928,88.132,2267436
2012-01-27,88.132,91.877,88.066,89.469,1666148
2012-01-30,89.469,90.803,87.998,90.803,897445
2012-01-31,91.271,94.825,91.01,93.285,2004152
2012-02-01,93.546,96.423,92.942,95.614,2226293
2012-02-02,96.619,96.687,95.078,96.084,854998
2012-02-03,95.548,97.085,94.552,96.15,1290697
2012-02-06,95.689,96.084,94.609,95.548,757819
2012-02-07,95.614,96.15,92.211,94.749,1029020
2012-02-08,95.078,95.811,94.355,94.749,969186
2012-02-09,95.219,95.614,93.213,94.881,1205026
2012-02-10,93.546,93.546,90.603,90.603,1807526
2012-02-13,91.741,92.942,90.603,90.603,873448
2012-02-14,91.137,92.942,89.802,90.269,1545093
2012-02-15,92.139,92.474,90.008,90.405,1288786
2012-02-16,90.208,90.875,88.601,89.068,1253347
2012-02-17,90.875,92.075,90.603,91.94,951100
2012-02-20,92.474,93.942,92.474,92.545,684583
2012-02-21,94.214,94.355,91.94,93.885,744430
2012-02-22,93.885,93.885,91.271,92.807,1157754
2012-02-23,92.474,94.477,91.94,92.545,1227791
2012-02-24,93.142,95.887,93.142,95.887,1966158
2012-02-27,95.887,95.887,94.28,95.548,799198
2012-02-28,95.887,98.026,95.614,97.813,1608063
2012-02-29,99.426,101.9,98.425,98.425,2464555
2012-03-01,98.23,100.36,97.357,100.15,909679
2012-03-02,100.56,102.03,100.04,101.16,1345731
2012-03-05,100.69,100.76,97.56,97.959,1666028
