Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,42.678,42.678,42.016,42.152,1664
2012-01-03,42.366,42.639,41.879,42.366,51944
2012-01-04,42.366,42.366,42.171,42.171,211
2012-01-05,42.171,42.366,41.976,41.976,1889
2012-01-09,41.889,42.366,41.879,42.366,2286
2012-01-10,42.366,42.366,41.684,41.684,1770
2012-01-11,41.684,41.879,41.051,41.051,1902
2012-01-12,40.905,41.938,40.223,41.392,6263
2012-01-13,42.337,42.337,41.392,41.791,8068
2012-01-16,41.294,41.539,41.294,41.509,18828
2012-01-17,41.577,41.587,41.344,41.558,3118
2012-01-18,42.337,42.337,41.246,41.879,4291
2012-01-19,41.879,41.879,41.392,41.684,40966
2012-01-20,41.081,41.976,41.081,41.976,1054
2012-01-23,41.402,41.724,41.353,41.724,1727
2012-01-24,41.781,41.928,41.781,41.879,5195
2012-01-25,41.636,41.694,41.304,41.694,109
2012-01-26,41.314,41.879,41.314,41.539,46729
2012-01-27,41.869,41.928,41.587,41.928,8183
2012-01-30,41.422,41.879,41.11,41.879,1856
2012-01-31,41.869,41.879,41.11,41.276,1297
2012-02-01,41.587,41.781,41.509,41.587,2630
2012-02-02,41.587,41.596,41.489,41.489,137511
2012-02-03,41.392,41.734,40.905,41.734,3406
2012-02-06,41.781,42.805,41.744,42.366,5114
2012-02-07,42.805,45.288,42.756,45.288,20622
2012-02-08,45.97,47.235,44.811,45.288,8807
2012-02-09,44.655,45.376,44.119,44.119,4415
2012-02-10,44.099,44.119,43.155,43.807,2134
2012-02-13,44.119,44.791,43.388,43.827,8300
2012-02-14,43.837,43.905,43.807,43.827,2380
2012-02-15,43.827,44.791,43.827,44.772,28862
2012-02-16,44.762,45.678,44.606,45.581,2227
2012-02-17,45.581,45.678,45.249,45.385,5138
2012-02-20,45.434,45.678,44.908,45.668,3108
2012-02-21,45.678,45.776,45.307,45.776,1752
2012-02-22,45.776,45.873,44.129,44.294,5933
2012-02-23,44.217,45.639,44.217,45.093,3165
2012-02-24,44.801,45.376,44.801,45.288,1147
2012-02-27,45.19,46.651,45.19,46.389,6985
2012-02-28,46.389,46.748,45.678,46.36,20119
2012-02-29,46.262,46.7,45.434,45.873,1723
2012-03-01,45.484,45.756,44.811,45.658,1678
2012-03-02,46.253,46.253,45.336,45.336,2814
