Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-04-11,17.55,17.55,16.513,16.832,150328
2014-04-14,16.732,16.732,16.241,16.376,40709
2014-04-15,16.376,16.532,16.285,16.368,3640
2014-04-16,16.368,16.496,16.285,16.285,3580
2014-04-17,16.196,16.558,16.196,16.376,3905
2014-04-22,16.64,16.914,16.422,16.877,2376
2014-04-23,16.832,16.923,16.742,16.877,7713
2014-04-24,16.877,16.877,16.868,16.868,1000
2014-04-25,16.722,16.832,16.376,16.832,9708
2014-04-28,16.877,16.877,16.386,16.822,899
2014-04-29,16.822,16.822,16.376,16.822,1605
2014-04-30,16.877,16.877,16.376,16.732,3438
2014-05-02,16.814,16.814,16.376,16.376,3944
2014-05-05,16.742,16.795,16.468,16.468,759
2014-05-06,16.468,16.65,16.376,16.468,1339
2014-05-07,16.376,16.386,16.176,16.323,7366
2014-05-08,16.323,16.33,16.294,16.294,1688
2014-05-09,16.304,16.304,16.104,16.104,793
2014-05-12,16.104,16.186,15.211,15.649,63815
2014-05-13,15.822,15.822,15.468,15.631,2779
2014-05-14,15.485,15.485,15.376,15.485,15304
2014-05-15,15.468,15.922,15.468,15.922,333
2014-05-16,15.912,15.922,15.468,15.912,2521
2014-05-19,15.876,15.876,15.876,15.876,10
2014-05-20,15.567,15.603,15.175,15.576,1664
2014-05-21,15.567,15.585,15.149,15.512,855
2014-05-22,15.594,16.323,15.468,16.323,3504
2014-05-23,16.241,16.368,16.241,16.368,1111
2014-05-26,16.368,16.422,16.368,16.422,5
2014-05-27,16.376,16.376,16.15,16.359,735
2014-05-28,16.368,16.368,16.368,16.368,10
2014-05-29,16.196,16.196,16.013,16.104,476
2014-05-30,16.013,16.822,15.74,16.822,5548
2014-06-02,16.786,16.786,16.196,16.323,1269
2014-06-03,16.376,16.376,15.504,16.241,275
2014-06-04,15.649,16.241,15.649,16.196,782
2014-06-05,15.83,16.058,15.83,16.058,425
2014-06-06,16.196,16.604,16.031,16.031,12832
2014-06-09,16.323,16.696,15.922,16.696,4439
2014-06-10,16.804,16.814,16.65,16.65,3100
2014-06-11,16.65,16.65,16.376,16.586,1222
2014-06-12,16.586,16.586,16.558,16.578,346
2014-06-13,16.376,16.568,16.376,16.568,817
2014-06-16,16.558,16.558,16.013,16.504,1060
2014-06-17,16.568,16.568,16.212,16.558,1813
2014-06-18,16.549,16.604,16.549,16.558,491
2014-06-20,16.604,16.604,16.558,16.604,386
2014-06-23,16.558,16.558,16.558,16.558,37
2014-06-24,16.63,16.63,16.285,16.594,613
2014-06-25,16.624,16.624,16.558,16.558,485
2014-06-26,15.977,16.549,15.977,16.549,2752
2014-06-27,16.558,16.558,16.468,16.468,15
2014-06-30,16.541,16.541,16.204,16.376,480
2014-07-01,16.376,16.376,16.013,16.013,179
2014-07-02,16.241,16.285,15.785,16.285,4000
2014-07-03,16.285,16.285,16.285,16.285,10
2014-07-04,16.285,16.285,16.285,16.285,10
2014-07-07,16.285,16.285,16.278,16.278,1660
2014-07-08,16.285,16.285,16.196,16.258,2237
2014-07-09,16.258,16.258,15.83,16.248,1134
2014-07-10,16.248,16.248,15.785,16.222,2766
2014-07-11,16.222,16.222,15.83,16.104,1501
2014-07-14,15.748,16.167,15.748,16.167,1462
2014-07-15,16.167,16.167,15.804,16.058,707
2014-07-16,16.167,16.167,15.613,15.867,1133
2014-07-17,15.958,15.958,15.468,15.922,1919
2014-07-18,15.912,16.167,15.557,16.167,1219
2014-07-21,15.922,15.922,15.468,15.785,2012
2014-07-22,15.822,15.94,15.74,15.74,72
2014-07-23,15.649,15.74,15.649,15.74,245
2014-07-24,15.74,15.74,15.685,15.685,1994
2014-07-25,15.903,15.903,15.54,15.622,10127
2014-07-28,15.995,15.995,15.876,15.876,3301
2014-07-29,15.337,15.755,15.337,15.57,9069
2014-07-30,15.607,15.607,15.43,15.523,273
2014-07-31,15.505,15.505,15.319,15.505,2571
2014-08-01,15.57,15.57,14.872,15.551,4797
2014-08-04,15.43,15.709,15.43,15.654,4357
2014-08-05,15.802,15.802,15.058,15.058,836
2014-08-06,15.105,15.105,14.872,14.872,5545
2014-08-07,14.863,14.863,13.943,14.557,18253
2014-08-08,14.557,14.557,13.385,14.129,10112
2014-08-11,14.306,14.306,14.119,14.129,2163
2014-08-12,14.352,14.352,13.943,14.119,91
2014-08-13,14.343,14.343,14.129,14.129,114
2014-08-14,14.352,14.352,13.711,14.129,372
2014-08-18,14.352,14.352,13.804,14.222,527
2014-08-19,14.213,14.213,13.943,14.129,780
2014-08-20,14.129,14.129,13.757,14.129,1153
2014-08-21,14.129,14.129,13.943,13.943,143
2014-08-22,13.989,14.129,13.989,14.129,602
2014-08-25,13.952,14.872,13.952,14.407,737
2014-08-26,14.407,14.407,13.989,14.119,58
2014-08-27,14.119,14.119,14.036,14.119,656
2014-08-28,14.119,14.119,13.943,13.943,11182
2014-08-29,13.943,13.943,13.534,13.757,14400
2014-09-01,13.943,13.943,13.199,13.934,12997
2014-09-02,13.943,13.943,13.479,13.934,3835
2014-09-03,13.571,14.872,13.571,14.872,2315
2014-09-04,14.872,14.966,14.51,14.956,3114
2014-09-05,14.966,14.966,14.315,14.315,858
2014-09-08,14.407,14.407,13.943,14.399,1253
2014-09-09,14.399,14.399,13.85,13.943,152207
2014-09-10,14.082,14.082,13.943,14.018,152326
2014-09-11,14.854,14.854,14.222,14.269,1964
2014-09-12,14.361,14.771,14.361,14.771,44190
2014-09-15,14.863,15.384,14.779,15.068,22609
2014-09-16,15.058,15.44,15.058,15.43,37911
2014-09-17,15.449,16.257,15.449,15.821,27813
2014-09-18,16.072,16.267,15.821,16.267,28823
2014-09-19,16.629,16.629,16.583,16.583,490
2014-09-22,16.712,16.712,16.36,16.537,735
2014-09-23,16.546,16.861,16.537,16.732,3618
2014-09-24,16.732,16.732,16.638,16.732,6300
2014-09-25,16.732,16.732,16.109,16.732,4326
2014-09-26,16.285,16.732,16.277,16.732,3420
2014-09-29,16.732,17.011,16.638,17.001,9842
2014-09-30,17.001,17.011,16.453,17.011,17783
2014-10-01,17.011,17.011,16.749,17.011,16611
2014-10-02,17.011,17.011,16.908,16.992,43198
2014-10-03,17.011,17.011,16.658,16.666,53837
2014-10-06,16.638,17.14,16.638,17.14,20117
2014-10-07,17.15,17.15,16.806,17.103,27043
2014-10-08,17.15,17.15,16.769,17.103,34531
2014-10-09,17.15,17.15,17.103,17.103,13261
2014-10-10,17.15,17.197,17.103,17.103,14206
