Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,5.5,5.5,5.5,5.5,8
2012-01-03,5.5,5.5,5.19,5.5,11100
2012-01-04,5.5,5.5,5.5,5.5,5
2012-01-05,5.49,5.49,5.49,5.49,183
2012-01-09,5.5,5.5,5.5,5.5,2
2012-01-10,5.49,5.49,5.49,5.49,3
2012-01-11,5.45,5.45,5.44,5.44,36
2012-01-12,5.44,5.44,5.44,5.44,2
2012-01-13,5.44,5.44,5.44,5.44,2
2012-01-16,5.45,5.45,5.45,5.45,3
2012-01-17,5.44,5.44,5.44,5.44,3
2012-01-18,5.3,5.3,5.3,5.3,1
2012-01-19,5.29,5.29,5.29,5.29,3
2012-01-20,5.28,5.28,5.28,5.28,1
2012-01-23,5.29,5.29,5.06,5.28,2938
2012-01-24,5.28,5.28,5.06,5.06,2906
2012-01-25,5.28,5.28,5.11,5.11,2084
2012-01-26,5.28,5.28,5.28,5.28,8
2012-01-27,5.28,5.28,5.28,5.28,9
2012-01-30,5.29,5.29,5.29,5.29,3
2012-01-31,5.28,5.28,5.28,5.28,1299
2012-02-01,5.28,5.28,5.16,5.16,1750
2012-02-02,5.2,5.28,5.2,5.21,752
2012-02-03,5.44,5.44,5.44,5.44,3
2012-02-06,5.44,5.44,5.44,5.44,11
2012-02-07,5.44,5.44,5.44,5.44,5
2012-02-08,5.44,5.44,5.21,5.4,857
2012-02-09,5.4,5.4,5.4,5.4,2
2012-02-10,5.4,5.4,5.4,5.4,2
2012-02-13,5.4,5.4,5.4,5.4,2
2012-02-14,5.4,5.4,5.4,5.4,1
2012-02-15,5.4,5.4,5.4,5.4,3
2012-02-16,5.39,5.39,5.12,5.12,1952
2012-02-17,5.38,5.38,5.38,5.38,2
2012-02-20,5.38,5.38,5.38,5.38,15
2012-02-21,5.38,5.38,5.11,5.11,204
2012-02-22,5.36,5.36,5.36,5.36,10133
2012-02-23,5.34,5.34,5.34,5.34,3
2012-02-24,5.36,5.36,5.22,5.34,613
2012-02-27,5.38,5.38,5.38,5.38,5
2012-02-28,5.38,5.38,5.15,5.29,776
2012-02-29,5.31,5.31,5.2,5.29,690
2012-03-01,5.37,5.37,5.05,5.05,913
2012-03-02,5.37,5.37,5.37,5.37,2
2012-03-05,5.38,5.38,5.21,5.21,549
2012-03-06,5.37,5.37,5.37,5.37,5
2012-03-07,5.37,5.37,5.18,5.3,507
2012-03-08,5.37,5.37,5.37,5.37,3
2012-03-09,5.37,5.37,5.37,5.37,5
2012-03-12,5.3,5.3,5.3,5.3,5
2012-03-13,5.35,5.35,5.35,5.35,10
2012-03-14,5.35,5.35,5.11,5.11,40
2012-03-15,5.35,5.35,5.35,5.35,9
2012-03-16,5.35,5.35,5.35,5.35,205
2012-03-19,5.3,5.3,5.3,5.3,106
2012-03-20,5.35,5.35,5.2,5.2,1890
2012-03-21,5.34,5.34,5.34,5.34,5
2012-03-22,5.3,5.3,5.3,5.3,3
2012-03-23,5.34,5.34,5.34,5.34,4
2012-03-26,5.35,5.35,5.35,5.35,4
2012-03-27,5.34,5.34,5.34,5.34,4
2012-03-28,5.31,5.31,5.31,5.31,4
2012-03-29,5.31,5.31,5.31,5.31,3
2012-03-30,5.31,5.31,5.25,5.28,418
2012-04-02,5.3,5.3,5.15,5.15,654
2012-04-03,5.15,5.15,5.15,5.15,30
2012-04-04,5.1,5.1,5.1,5.1,365
2012-04-05,5.1,5.1,4.8,4.8,590
2012-04-10,5.25,5.25,5.25,5.25,14
2012-04-11,5.19,5.19,5.19,5.19,10
2012-04-12,5.19,5.19,5.19,5.19,3
2012-04-13,5.19,5.19,5.19,5.19,5
2012-04-16,5.19,5.19,4.96,4.96,636
2012-04-17,5.12,5.12,5.12,5.12,2
2012-04-18,5.12,5.12,5,5,469
2012-04-19,5.25,5.25,5.25,5.25,2
2012-04-20,5.25,5.25,5.25,5.25,2
2012-04-23,5.25,5.25,5.25,5.25,2
2012-04-24,5.25,5.25,5.25,5.25,2
2012-04-25,5.25,5.25,5.25,5.25,2
2012-04-26,5.2,5.2,4.95,4.95,517
2012-04-27,5.2,5.2,4.97,4.97,547
2012-04-30,5.25,5.25,5.25,5.25,1
2012-05-02,5.25,5.25,5.25,5.25,2
2012-05-04,5.25,5.25,5.25,5.25,2
2012-05-07,5.25,5.25,5.25,5.25,2
2012-05-08,5.25,5.25,4.95,4.95,517
2012-05-09,4.95,4.95,4.95,4.95,2
2012-05-10,4.95,4.95,4.67,4.8,1083
2012-05-11,5.25,5.25,5.25,5.25,3
2012-05-14,5.25,5.25,5.25,5.25,2
2012-05-15,5.25,5.25,5.25,5.25,2
2012-05-16,5.25,5.25,5.25,5.25,2
2012-05-17,5.25,5.25,4.79,4.9,668
2012-05-18,5.25,5.25,4.71,4.71,534
2012-05-21,5.25,5.25,5.25,5.25,1
2012-05-22,5.25,5.25,5.25,5.25,5
2012-05-23,4.7,4.7,4.7,4.7,25
2012-05-24,4.7,4.7,4.7,4.7,3
2012-05-25,4.7,4.7,4.27,4.27,600
2012-05-28,4.7,4.7,4.7,4.7,5
2012-05-29,4.7,4.7,4.47,4.47,580
2012-05-30,4.47,4.47,3.86,4,1768
2012-05-31,4.47,4.47,3.78,4.47,3172
2012-06-01,4,4.32,3.74,4.32,1822
2012-06-04,4.32,4.32,4.17,4.17,325
2012-06-05,4.32,4.32,4.2,4.2,42
2012-06-06,4.32,4.47,4.3,4.47,2281
2012-06-08,4.47,4.47,4.47,4.47,3
2012-06-11,4.47,4.47,4.47,4.47,3
2012-06-12,4.47,4.47,4.47,4.47,3
2012-06-13,4.47,4.47,4.47,4.47,3
2012-06-14,4.47,4.47,4.47,4.47,10
2012-06-15,4.47,4.47,4.47,4.47,3
2012-06-18,4.47,4.47,4.47,4.47,3
2012-06-19,4.47,4.47,4.2,4.47,9
2012-06-20,4.47,4.47,4.25,4.47,802
2012-06-21,4.47,4.47,4.47,4.47,3
2012-06-22,4.47,4.47,4.46,4.46,1013
2012-06-25,4.47,4.47,4.47,4.47,4
2012-06-26,4.47,4.47,4.47,4.47,3
2012-06-27,4.47,4.47,4.47,4.47,3
2012-06-28,4.47,4.47,3.87,4.01,3717
2012-06-29,4.04,4.04,4.04,4.04,6
2012-07-02,4.04,4.07,4.04,4.07,508
2012-07-03,4.07,4.07,4,4,390
2012-07-04,4.07,4.07,4,4.02,1593
2012-07-05,4.07,4.07,4.05,4.05,53
2012-07-06,4.07,4.07,4.05,4.05,1507
2012-07-09,4.05,4.05,4.05,4.05,3
2012-07-10,4.05,4.05,4.05,4.05,3
2012-07-11,4.05,4.05,4.05,4.05,3
2012-07-12,4.05,4.7,4.05,4.6,3958
2012-07-13,4.6,4.8,4.59,4.79,9308
2012-07-16,4.6,4.6,3.94,4.4,2613
2012-07-17,4.37,4.9,4.36,4.84,20463
2012-07-18,4.93,4.93,4.93,4.93,2
2012-07-19,4.8,4.8,4.8,4.8,314
2012-07-20,4.9,4.9,4.52,4.72,507
2012-07-23,4.8,4.8,4.46,4.46,202
2012-07-24,4.6,4.6,4.44,4.44,517
2012-07-25,4.12,4.2,4.12,4.2,191
2012-07-26,4.16,4.36,4.16,4.36,2172
2012-07-27,4.6,4.6,4.2,4.6,1555
2012-07-30,4.35,4.5,4.1,4.2,2512
2012-07-31,4.18,4.18,4,4.18,473
2012-08-01,4.3,4.3,4.3,4.3,3
2012-08-02,4.32,4.32,4.02,4.02,380
2012-08-03,4.32,4.32,3.95,4.32,504
2012-08-06,3.95,4.1,3.9,4.05,1321
2012-08-07,3.85,3.93,3.73,3.93,1205
2012-08-08,4.32,4.32,4.32,4.32,1
2012-08-09,4.24,4.24,4.04,4.04,5
2012-08-10,3.73,3.98,3.68,3.98,1301
2012-08-13,3.98,3.98,3.69,3.85,413
2012-08-14,3.95,3.95,3.5,3.65,2103
2012-08-16,3.7,3.88,3.54,3.65,1326
2012-08-17,3.65,3.65,3.65,3.65,3
2012-08-20,3.27,3.48,3.23,3.23,3495
2012-08-21,3.48,3.48,3.07,3.28,3248
2012-08-22,3.24,3.24,3.24,3.24,3
2012-08-23,3.24,3.24,3.02,3.02,1504
2012-08-24,3.24,3.24,3.24,3.24,3
2012-08-27,3.23,3.23,3,3.15,1770
2012-08-28,3.24,3.24,3,3.05,528
2012-08-29,3.04,3.04,3.04,3.04,4
2012-08-30,3.03,3.03,3.03,3.03,4
2012-08-31,3.05,3.05,2.85,3.04,645
2012-09-03,3,3,3,3,400
2012-09-04,3,3,2.75,2.75,953
2012-09-05,3.08,3.08,3.08,3.08,40
2012-09-06,2.9,3.24,2.9,2.95,1586
2012-09-07,3.23,3.24,3,3.24,1761
2012-09-10,2.8,3.23,2.8,3.03,5011
2012-09-11,3.18,3.18,3.18,3.18,3
2012-09-12,3.03,3.03,2.84,3.03,536
2012-09-13,3.02,3.19,2.95,3.08,635
2012-09-14,3.24,3.24,2.96,3.12,1409
2012-09-17,3.23,3.23,2.96,3.23,319
2012-09-18,2.97,3.23,2.97,3.23,878
2012-09-19,3.23,3.23,2.82,3.23,1472
2012-09-20,3.24,3.24,3.24,3.24,3
2012-09-21,3.23,3.23,2.6,3.08,5463
2012-09-24,3.07,3.19,2.6,2.98,3070
2012-09-25,2.98,3.11,2.75,3.1,4442
2012-09-26,3.02,3.02,3.02,3.02,4
2012-09-27,2.9,2.9,2.75,2.9,1005
2012-09-28,2.9,2.9,2.8,2.9,1509
2012-10-01,2.9,2.9,2.9,2.9,2
2012-10-02,2.9,2.9,2.9,2.9,4
2012-10-03,2.9,2.9,2.9,2.9,3
2012-10-04,2.9,2.9,2.9,2.9,3
2012-10-05,2.88,2.88,2.88,2.88,4
2012-10-08,2.89,2.89,2.89,2.89,4
2012-10-09,2.86,2.86,2.7,2.86,583
2012-10-10,2.86,2.86,2.5,2.5,1747
2012-10-11,2.88,2.89,2.49,2.89,1502
2012-10-12,2.89,2.89,2.89,2.89,23
2012-10-15,2.56,2.85,2.56,2.85,401
2012-10-16,2.89,2.89,2.89,2.89,3
2012-10-17,2.88,2.88,2.88,2.88,3
2012-10-18,2.88,2.88,2.88,2.88,4
2012-10-19,2.89,2.89,2.5,2.67,1257
2012-10-22,2.87,2.87,2.33,2.8,623
2012-10-23,2.4,2.77,2.28,2.75,5756
2012-10-24,2.73,2.77,2.4,2.73,3481
2012-10-25,2.8,3.02,2.8,3.02,7577
2012-10-26,2.85,3.18,2.85,3.17,3487
2012-10-29,3.18,3.42,3.18,3.3,4934
2012-10-30,3.3,3.3,3.1,3.3,2662
2012-10-31,3.44,3.44,3.44,3.44,3
2012-11-02,3.44,3.45,3.41,3.45,2003
