Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,0.6646,0.6738,0.6462,0.6738,27741
2012-01-03,0.6738,0.6738,0.6369,0.6462,62098
2012-01-04,0.6462,0.6554,0.6369,0.6462,60601
2012-01-05,0.6554,0.6554,0.6369,0.6462,26409
2012-01-09,0.6462,0.6462,0.6092,0.6185,80521
2012-01-10,0.6277,0.6462,0.6277,0.6462,71654
2012-01-11,0.6462,0.6462,0.6185,0.6277,66564
2012-01-12,0.6277,0.6462,0.6277,0.6462,26325
2012-01-13,0.6462,0.6831,0.6369,0.6462,397545
2012-01-16,0.6554,0.6554,0.6554,0.6554,19799
2012-01-17,0.6646,0.6923,0.6646,0.6831,95350
2012-01-18,0.6923,0.7015,0.6738,0.6831,96418
2012-01-19,0.6831,0.7385,0.6738,0.7385,96658
2012-01-20,0.7477,0.7662,0.7292,0.7385,65480
2012-01-23,0.7477,0.7569,0.72,0.7292,103814
2012-01-24,0.7292,0.7846,0.7292,0.7662,373368
2012-01-25,0.7754,0.8215,0.7477,0.8215,294477
2012-01-26,0.8123,0.8492,0.7846,0.7846,130734
2012-01-27,0.7846,0.8123,0.7754,0.7846,48567
2012-01-30,0.7846,0.7846,0.7569,0.7662,58470
2012-01-31,0.77,0.81,0.77,0.79,85583
2012-02-01,0.7846,0.8031,0.7754,0.7938,35739
2012-02-02,0.8031,0.8031,0.7754,0.7754,36506
2012-02-03,0.7754,0.8031,0.7662,0.8031,89716
2012-02-06,0.8031,0.8215,0.7938,0.7938,25171
2012-02-07,0.8031,0.8123,0.7938,0.7938,31812
2012-02-08,0.8031,0.8769,0.8031,0.8585,181999
2012-02-09,0.8954,0.8954,0.8308,0.8308,95758
2012-02-10,0.8308,0.8492,0.8123,0.8215,33111
2012-02-13,0.8123,0.8492,0.8123,0.8308,28199
2012-02-14,0.84,0.8585,0.8308,0.8308,10074
2012-02-15,0.8308,0.8492,0.8308,0.8308,27738
2012-02-16,0.8308,0.84,0.7569,0.7754,208219
2012-02-17,0.7938,0.8031,0.7846,0.8031,67798
2012-02-20,0.7938,0.8031,0.7846,0.8031,65627
2012-02-21,0.7938,0.8215,0.7938,0.8031,82363
2012-02-22,0.8031,0.84,0.7846,0.8123,176728
2012-02-23,0.8308,0.8308,0.7846,0.8123,100236
2012-02-24,0.84,0.84,0.7846,0.8123,47787
2012-02-27,0.8031,0.8308,0.7938,0.8308,33550
2012-02-28,0.8308,0.8308,0.8123,0.8308,16501
2012-02-29,0.8308,0.84,0.8123,0.84,57609
2012-03-01,0.8215,0.8308,0.8123,0.8308,52921
2012-03-02,0.8308,0.8308,0.8215,0.8308,13699
2012-03-05,0.84,0.84,0.7938,0.8031,46142
2012-03-06,0.7846,0.7846,0.72,0.72,69837
2012-03-07,0.72,0.7477,0.7015,0.7477,62873
2012-03-08,0.7569,0.7754,0.7569,0.7754,41930
2012-03-09,0.7754,0.7754,0.7477,0.7662,19474
2012-03-12,0.7754,0.7754,0.7477,0.7662,17333
2012-03-13,0.7662,0.7754,0.7569,0.7662,14939
2012-03-14,0.7662,0.7662,0.6923,0.7385,148591
2012-03-15,0.7385,0.7569,0.7292,0.7385,46407
2012-03-16,0.7292,0.7385,0.72,0.7385,29533
2012-03-19,0.7477,0.7662,0.72,0.7662,48975
2012-03-20,0.7662,0.7754,0.7385,0.7662,79225
2012-03-21,0.7662,1.0154,0.7662,1.0154,1103977
2012-03-22,1.1354,1.3662,1.1262,1.3662,1209458
2012-03-23,1.6708,1.7908,1.3938,1.7538,3505761
2012-03-26,1.8,1.9015,1.6246,1.6892,3277923
2012-03-27,1.6246,1.6708,1.3754,1.4031,1849690
2012-03-28,1.3846,1.5877,1.3569,1.5138,1329414
2012-03-29,1.5138,1.6523,1.4769,1.5692,867455
2012-03-30,1.61,1.63,1.52,1.53,294778
2012-04-02,1.56,1.6062,1.4308,1.4677,219338
