Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,37716.67,38355.17,37663.21,38318.26,100416921
2012-01-03,38453.36,38482.91,38214.11,38463.72,287792933
2012-01-04,38404.34,38428.19,37863.95,38183.09,147601584
2012-01-05,38144.84,38144.84,37452.95,37739.39,102566476
2012-01-09,37816.69,37816.69,37329.42,37341.29,100398101
2012-01-10,37506.87,37909.36,37433.64,37608.68,99712980
2012-01-11,37787.79,37854.06,37390.19,37516.2,94746435
2012-01-12,37559.46,38199.66,37522.44,38062.87,117383755
2012-01-13,38283.28,38413.19,37723.97,37991.91,177815188
2012-01-16,37804.17,38237.73,37762.47,38225.95,125198473
2012-01-17,38596.52,39030.72,38587.86,38726.6,148854408
2012-01-18,38995.15,39088.55,38709.67,39056.43,134668856
2012-01-19,39252.78,39288.13,38774.59,39288.13,167852756
2012-01-20,39264.06,39518.87,39145.72,39518.87,102920022
2012-01-23,39530.33,39740.98,39451.96,39660.19,110186179
2012-01-24,39674.49,39707.26,39427.19,39606.62,129770444
2012-01-25,39791.2,39824.77,39377.82,39542.67,109738934
2012-01-26,39732.28,40679.68,39659.17,40392.48,188406511
2012-01-27,40447.68,40784,40396.7,40467.92,116417595
2012-01-30,40388.46,40600.3,40155.74,40600.3,649113947
2012-01-31,40724.61,41236.15,40712.13,40927.75,561710675
2012-02-01,41027.36,41516.39,41002.72,41438.43,259452227
2012-02-02,41661.54,41696.37,41353.09,41602.24,204474018
2012-02-03,41584.86,41979.59,41476.16,41732.3,252458516
2012-02-06,41729.48,42083.93,41605.59,42083.93,242526922
2012-02-07,42148.06,42269.46,41663.82,41912.98,198053424
2012-02-08,42089.21,42194.02,41913.15,42044.47,198417788
2012-02-09,42229.01,42309.72,41625.66,41792.46,178149273
2012-02-10,41666.93,41679.6,41181.13,41219.43,159328011
2012-02-13,41496.6,41613.68,41412.59,41581.98,133451130
2012-02-14,41604.47,41818.34,41386.33,41423.51,117027582
2012-02-15,41743.26,41801.9,41511.6,41616.3,137391971
2012-02-16,41429.68,41724.25,41307.89,41430.3,135884822
2012-02-17,41871.2,42161.4,41793.25,42161.4,196229004
2012-02-20,42318.87,42438.54,42047.36,42047.36,140146591
2012-02-21,42271.54,42290.07,41894.75,42070.07,116807478
2012-02-22,42163.74,42163.74,41485.65,41669.41,140194042
2012-02-23,41460.1,41771.58,41258.14,41258.14,215913017
2012-02-24,41482.9,41653.4,41412.94,41499.43,168257787
2012-02-27,41503.39,41503.39,41132.71,41464.05,187365849
2012-02-28,41617.4,41730.07,41459.87,41605.56,118843733
2012-02-29,41890.23,41919.92,41439.78,41560.55,153631703
2012-03-01,41285.02,41533.87,41199.39,41533.87,93815382
2012-03-02,41486.76,41693.54,41418.13,41639.72,134264328
2012-03-05,41444.68,41496.71,41013.27,41084.32,167210805
2012-03-06,41019.94,41034.42,40319.75,40479.75,126614237
