Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,1.8321,1.8637,1.8321,1.8559,3401
2012-01-03,1.7924,1.951,1.7924,1.951,74995
2012-01-04,1.9351,1.9351,1.8479,1.8637,84585
2012-01-05,1.9192,1.9192,1.8241,1.8559,1402
2012-01-09,1.8162,1.8796,1.8162,1.8637,7239
2012-01-10,1.8559,2.0462,1.8559,1.943,58724
2012-01-11,1.9192,1.943,1.8796,1.8796,21720
2012-01-12,1.8637,1.9351,1.8637,1.9192,19245
2012-01-13,1.9351,1.943,1.8796,1.8955,8021
2012-01-16,1.8955,1.9351,1.8637,1.9114,11791
2012-01-17,1.9114,2.0144,1.9114,1.9588,28349
2012-01-18,2.0223,2.0462,1.9827,2.0462,30403
2012-01-19,2.0462,2.1651,2.0223,2.1493,60869
2012-01-20,2.1731,2.2841,2.1413,2.2762,94284
2012-01-23,2.3158,2.3476,2.2366,2.2683,26284
2012-01-24,2.2602,2.2602,2.0778,2.2128,130427
2012-01-25,2.2286,2.2762,2.0938,2.1493,87272
2012-01-26,2.1651,2.2366,2.0223,2.2206,37280
2012-01-27,2.1968,2.2683,2.1651,2.2602,57331
2012-01-30,2.2762,2.3556,2.2206,2.3556,115175
2012-01-31,2.3425,2.5129,2.3425,2.4703,113552
2012-02-01,2.5458,2.5775,2.4745,2.4824,218574
2012-02-02,2.4824,2.5537,2.4585,2.4665,62992
2012-02-03,2.4981,2.6171,2.4981,2.522,31953
2012-02-06,2.5775,2.6331,2.4981,2.5616,29966
2012-02-07,2.5697,2.5934,2.4981,2.5616,20289
2012-02-08,2.5062,2.5775,2.4824,2.522,20110
2012-02-09,2.4824,2.6094,2.4665,2.522,25395
2012-02-10,2.4981,2.53,2.403,2.4348,26925
2012-02-13,2.4507,2.4585,2.4427,2.4427,4274
2012-02-14,2.4507,2.4585,2.4268,2.4268,11688
2012-02-15,2.4268,2.5775,2.419,2.5142,15496
2012-02-16,2.5934,2.5934,2.4745,2.4903,23413
2012-02-17,2.5379,2.5775,2.5379,2.5775,39776
2012-02-20,2.6014,2.7599,2.6014,2.7441,33633
2012-02-21,2.7441,2.9344,2.7441,2.8551,143421
2012-02-22,2.9185,2.9185,2.8393,2.8709,17522
2012-02-23,2.8551,2.9185,2.7758,2.8551,19213
2012-02-24,2.8551,2.8551,2.752,2.8233,10465
2012-02-27,2.7758,2.7758,2.5458,2.6886,53869
2012-02-28,2.6965,2.7123,2.5775,2.6806,25472
2012-02-29,2.6806,2.7917,2.6727,2.7917,35592
2012-03-01,2.8155,2.8155,2.5458,2.6965,31934
2012-03-02,2.5855,2.752,2.5855,2.6886,84046
2012-03-05,2.6331,2.6569,2.5616,2.5855,30945
2012-03-06,2.5458,2.5458,2.403,2.4585,55999
2012-03-07,2.403,2.4585,2.3791,2.4585,32067
2012-03-08,2.4665,2.6965,2.4427,2.6171,46645
2012-03-09,2.6965,2.6965,2.5379,2.6886,79559
2012-03-12,2.6251,2.6806,2.6251,2.6251,10122
2012-03-13,2.649,2.649,2.5379,2.6171,34111
2012-03-14,2.5697,2.5934,2.522,2.5775,36741
2012-03-15,2.5775,2.6806,2.5775,2.6806,31581
2012-03-16,2.6806,2.8076,2.6806,2.8076,39322
2012-03-19,2.8076,2.9265,2.8076,2.8155,36183
2012-03-20,2.8551,2.8551,2.6251,2.8155,34715
2012-03-21,2.8076,2.8076,2.6727,2.7361,19147
2012-03-22,2.6569,2.6806,2.6094,2.6727,43230
2012-03-23,2.6886,2.7361,2.5537,2.7361,23454
2012-03-26,2.7837,2.7837,2.7044,2.7361,29375
2012-03-27,2.8076,2.8076,2.7044,2.7361,13769
2012-03-28,2.7283,2.7283,2.4585,2.5855,173746
2012-03-29,2.5142,2.5855,2.4824,2.5379,17169
